Name,Electoral Votes,Registered Voters,Population,Percentage of Population,Party plurality,2016 Results,2012 Results,2008 Results,Racial Breakdown,Gender Breakdown
Alabama,9,2490000,4908620,50.73%,Republican,Republican: Donald Trump,Republican: Mitt Romney,Republican: John McCain,"66% White
26% Black
18% Hispanic
6% Asian","Male:48 %
Female:52%"
Alaska,3,337000,734002,45.91%,Republican,Republican: Donald Trump,Republican: Mitt Romney,Republican: John McCain,"60% White
26% Black
4% Hispanic
1% Asian","Male: 51%
Female: 49%"
Arizona,11,3262000,7378490,44.21%,Republican,Republican: Donald Trump,Republican: Mitt Romney,Republican: John McCain,"54% White
4% Black
32% Hispanic
4% Asian","Male: 49%
Female: 51%"
Arkansas,6,1262000,3039000,41.53%,Republican,Republican: Donald Trump,Republican: Mitt Romney,Republican: John McCain,"72% White
15% Black
8% Hispanic
2% Asian","Male: 49%
Female: 51%"
California,55,15690000,39937500,39.29%,Democratic,Democrat: Hillary Clinton,Democrat: Barack Obama,Democrat: Barack Obama,"37% White
5% Black
39% Hispanic
15% Asian","Male: 49%
Female: 51%"
Colorado,9,2645000,5845530,45.25%,Democratic,Democrat: Hillary Clinton,Democrat: Barack Obama,Democrat: Barack Obama,"68% White
4% Black
22% Hispanic
3% Asian","Male: 50%
Female: 50%"
Connecticut,7,1726000,3563080,48.44%,Democratic,Democrat: Hillary Clinton,Democrat: Barack Obama,Democrat: Barack Obama,"66% White
1% Black
17% Hispanic
5% Asian","Male: 49%
Female: 51%"
Delaware,3,472000,982895,48.02%,Democratic,Democrat: Hillary Clinton,Democrat: Barack Obama,Democrat: Barack Obama,"62% White
21% Black
9% Hispanic
3% Asian","Male: 48%
Female: 52%"
District of Columbia,3,500675,705749,70.94%,Democratic,Democrat: Hillary Clinton,Democrat: Barack Obama,Democrat: Barack Obama,"37% White
45% Black
11% Hispanic
4% Asian","Male: 47%
Female: 53%"
Florida,29,9435000,21993000,42.90%,Republican,Republican: Donald Trump,Democrat: Barack Obama,Democrat: Barack Obama,"53% White
15% Black
26% Hispanic
3% Asian","Male: 48%
Female: 52%"
Georgia,16,4840000,10736100,45.08%,Republican,Republican: Donald Trump,Republican: Mitt Romney,Republican: John McCain,"52% White
31% Black
1% Hispanic
4% Asian","Male: 48%
Female: 52%"
